"file","caption","category","png_time","StartTime"
"comp_lendat_flt1mkt2_page1.png","Length comp data, retained, Fishery (plot 1 of 2).<br><br>'N adj.' is the input sample size after data-weighting adjustment. N eff. is the calculated effective sample size used in the McAllister-Iannelli tuning method.","CompDat",2019-06-06 14:45:22,"StartTime: Thu Jun 6 09:43:03 2019"
"comp_lendat_flt1mkt2_page2.png","Length comp data, retained, Fishery (plot 2 of 2)","CompDat",2019-06-06 14:45:22,"StartTime: Thu Jun 6 09:43:03 2019"
"comp_lendat_bubflt1mkt2_page2.png","Length comp data, retained, Fishery (max=0.5) (plot 2 of 2)","CompDat",2019-06-06 14:45:22,"StartTime: Thu Jun 6 09:43:03 2019"
"comp_lendat_data_weighting_TA1.8_Fishery.png","Mean length for Fishery with 95% confidence intervals based on current samples sizes.","CompDat",2019-06-06 14:45:22,"StartTime: Thu Jun 6 09:43:03 2019"
"comp_lendat_flt1mkt1.png","Length comp data, discard, Fishery.<br><br>'N adj.' is the input sample size after data-weighting adjustment. N eff. is the calculated effective sample size used in the McAllister-Iannelli tuning method.","CompDat",2019-06-06 14:45:22,"StartTime: Thu Jun 6 09:43:03 2019"
"comp_lendat_bubflt1mkt1.png","Length comp data, discard, Fishery (max=0.14)","CompDat",2019-06-06 14:45:22,"StartTime: Thu Jun 6 09:43:03 2019"
"comp_lendat_data_weighting_TA1.8_Fishery.png","Mean length for Fishery with 95% confidence intervals based on current samples sizes.","CompDat",2019-06-06 14:45:22,"StartTime: Thu Jun 6 09:43:03 2019"
"comp_lendat_flt5mkt0.png","Length comp data, whole catch, WCGBT Survey.<br><br>'N adj.' is the input sample size after data-weighting adjustment. N eff. is the calculated effective sample size used in the McAllister-Iannelli tuning method.","CompDat",2019-06-06 14:45:22,"StartTime: Thu Jun 6 09:43:03 2019"
"comp_lendat_bubflt5mkt0.png","Length comp data, whole catch, WCGBT Survey (max=0.11)","CompDat",2019-06-06 14:45:22,"StartTime: Thu Jun 6 09:43:03 2019"
"comp_lendat_data_weighting_TA1.8_WCGBT Survey.png","Mean length for WCGBT Survey with 95% confidence intervals based on current samples sizes.","CompDat",2019-06-06 14:45:22,"StartTime: Thu Jun 6 09:43:03 2019"
"comp_lendat_flt6mkt0.png","Length comp data, whole catch, Triennial Survey.<br><br>'N adj.' is the input sample size after data-weighting adjustment. N eff. is the calculated effective sample size used in the McAllister-Iannelli tuning method.","CompDat",2019-06-06 14:45:22,"StartTime: Thu Jun 6 09:43:03 2019"
"comp_lendat_bubflt6mkt0.png","Length comp data, whole catch, Triennial Survey (max=0.08)","CompDat",2019-06-06 14:45:22,"StartTime: Thu Jun 6 09:43:03 2019"
"comp_lendat_data_weighting_TA1.8_Triennial Survey.png","Mean length for Triennial Survey with 95% confidence intervals based on current samples sizes.","CompDat",2019-06-06 14:45:22,"StartTime: Thu Jun 6 09:43:03 2019"
"comp_lendat__aggregated_across_time.png","Length comp data, aggregated across time by fleet.
 <br> Labels 'retained' and 'discard' indicate discarded or retained sampled for each fleet. Panels without this designation represent the whole catch.
","CompDat",2019-06-06 14:45:22,"StartTime: Thu Jun 6 09:43:03 2019"
"comp_lendat__multi-fleet_comparison.png","Length comp data,  comparing across fleets","CompDat",2019-06-06 14:45:22,"StartTime: Thu Jun 6 09:43:03 2019"
"parameterchecks.html","Table of estimated parameters sorted by parameters with the largest gradients; any parameter with a gradient value with an absolute value above 0.001 (for SS 3.30 models) or a parameter on bounds is colored in red.","DiagnosticTables",2019-06-06 14:45:22,"StartTime: Thu Jun 6 09:43:03 2019"
"correlationcheck.html","Table of estimated parameters with the ten highest correlation rates, sorted by highest correlations; any parameter with an absolute value of correlation above  is colored in red.","DiagnosticTables",2019-06-06 14:45:22,"StartTime: Thu Jun 6 09:43:03 2019"
